"","d1","d2","d3","d4"
"EDDEP04",-2.02982570860538,-4.35657724814046,-6.71446260640311,-9.09829743886986
"EDDEP05",-1.30943695524592,-3.20316524044109,-5.64236524939471,-8.46248582050253
"EDDEP06",-1.55985312612514,-3.68207800337656,-6.27741897031141,-8.89739909470116
"EDDEP07",-0.364578174356729,-2.20357926510601,-4.18917629715949,-6.37536745894927
"EDDEP09",-1.46611182243421,-3.73120143128501,-6.79489610063514,-9.30330830705182
"EDDEP14",-0.597766599611002,-2.48784274730891,-4.78980815305981,-6.84303120019181
"EDDEP17",1.38190446208677,-1.45920727907583,-4.65089347272164,-8.24613941629577
"EDDEP19",-2.18728829492182,-4.00090263896412,-6.4447890816634,-8.37308598439348
"EDDEP21",-0.147194382733747,-2.2666952437819,-4.81116303359725,-6.98946940241821
"EDDEP22",-0.98165449051479,-3.04571599673143,-6.35641084674684,-8.32838768165434
"EDDEP23",0.115069355719254,-1.71588518654489,-4.04011354134457,-6.29652269843298
"EDDEP26",0.882362567716547,-1.38564961982152,-4.25330960025985,-6.67188672845453
"EDDEP27",-0.837510429017337,-2.82036676205749,-5.03437051735821,-7.62271487622843
"EDDEP28",0.0566167337347348,-1.77554974784194,-3.99417298870367,-6.10663498367365
"EDDEP29",0.182409895617338,-2.49871921964864,-5.31927519954412,-8.58109934331503
"EDDEP30",0.174425179671818,-2.03241857598643,-4.45708944093531,-6.76121881451983
"EDDEP31",0.595672560155575,-1.28745671962048,-4.16024369967486,-6.54507348961573
"EDDEP35",0.0595167678974572,-2.02399417091579,-4.7062464435086,-7.29972528642113
"EDDEP36",1.31848333124174,-1.87787853272699,-5.40931323126981,-8.53970365872305
"EDDEP39",-3.17567313489074,-4.88951442905487,-6.48588367388723,-8.50399488002332
"EDDEP41",-2.00288575556589,-4.79115775213406,-7.44485433935856,-10.7612817888861
"EDDEP42",-0.00981476972316819,-1.90515315191598,-4.13437732940264,-6.37060933070512
"EDDEP44",-0.821481653085032,-2.67368617139734,-5.24690309174501,-8.11006174712655
"EDDEP45",-0.360126485741741,-2.61782761458403,-5.60774157398375,-7.7165312817432
"EDDEP46",0.599987243456587,-1.41636821722782,-3.87994611967128,-6.14195130456145
"EDDEP48",-1.14018759790573,-2.66356989714252,-5.48147876738425,-7.40674042018013
"EDDEP50",-0.352302700782906,-2.23791416637256,-4.26583692766552,-6.0983255488609
"EDDEP54",0.346174956503137,-1.81326074080748,-4.21694200675645,-6.79229574419175
"CESD1",-1.92809944027995,-4.10067960476332,-6.43955185513325,NA
"CESD2",-1.81940342552044,-3.41895550453553,-4.71240917493407,NA
"CESD3",-3.13070062596846,-4.84160437658028,-7.01689916244692,NA
"CESD4",-0.834416628610989,-1.64230374186933,-2.43622317875903,NA
"CESD5",-0.779278467929414,-2.51193060179573,-4.4203377109625,NA
"CESD6",-2.00009234963371,-4.50752400115423,-6.48914888473219,NA
"CESD7",-0.633643442829551,-2.57491023279579,-3.96391474391669,NA
"CESD8",0.00146925562585161,-1.17548884581182,-2.26621855192845,NA
"CESD9",-2.41481970100081,-4.31251327189931,-5.67307325287465,NA
"CESD10",-2.53922769439756,-4.33809818181328,-6.78824000081559,NA
"CESD11",0.433273070463415,-1.07178555023708,-2.38885571526927,NA
"CESD12",-0.505015553941778,-2.26536397458074,-4.05463402705599,NA
"CESD13",-0.521495986562783,-2.25282398110748,-3.80347424112641,NA
"CESD14",-1.17133789622208,-2.93256903306169,-4.17353797508362,NA
"CESD15",-1.42038440745666,-3.31640147109062,-5.08233860391109,NA
"CESD16",-0.708045080765382,-2.10780688692178,-3.99860254296349,NA
"CESD17",-2.88430416197554,-4.08032045769525,-6.0684457659277,NA
"CESD18",-0.875159531900354,-3.67511722645239,-5.72038482736794,NA
"CESD19",-1.5263199624084,-3.52140078304753,-4.918866973553,NA
"CESD20",0.127664162817414,-1.97515627108295,-3.49670109777525,NA
