item,a1,a2,a3,a4,a5,a6,a7,a8
8,2.92,0,0,0,0,0,0,0
9,2.65,0,0,0,0,0,0,0
10,2.03,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0
16,1.95,0,0,0,0,0,0,0
5,1.93,0,0,0,0,0,0,0
4,1.84,0,0,0,0,0,0,0
3,1.78,0,0,0,0,0,0,0
2,1.53,0,0,0,0,0,0,0
17,1.47,0,0,0,0,0,0,0
1,1.37,0,0,0,0,0,0,0
13,3.89,0,3.85,0,0,0,0,0
12,3.86,0,0,2.37,0,0,0,0
15,3.49,0,0,0,2.04,0,0,0
7,2.99,0,0,0,0,4.06,0,0
11,2.79,0,0,0,0,0,1.66,0
14,2.76,0,0,0,0,0,0,2.52
20,0,4.09,3.85,0,0,0,0,0
19,0,3.90,0,2.37,0,0,0,0
24,0,3.42,0,0,2.04,0,0,0
27,0,3.36,0,0,0,4.06,0,0
26,0,3.11,0,0,0,0,1.66,0
23,0,2.63,0,0,0,0,0,2.52
18,0,2.31,0,0,0,0,0,0
22,0,2.25,0,0,0,0,0,0
28,0,2.19,0,0,0,0,0,0
21,0,1.7,0,0,0,0,0,0
25,0,1.07,0,0,0,0,0,0
